nobeli,namasup,nilaifak,jumlah,total,kodesup,satauan_brg
BL-452762,FREELINE,1274360,75,95577000,FREE,PACK
BL-452763,DILA COL,1324680,75,99351000,DILA,PACK
BL-452764,TOKO FORTUNA,1711325,75,128349375,TF,PACK
BL-452765,TJAHYONO ABADI,1201913.02,75,90143476.5,TA,PACK
BL-452766,SUMBER PELITA MATARAM,748798.23,75,56159867.25,SPM,PACK
BL-452767,GERABAH KHORI,2147500,75,161062500,GK,PACK
BL-452768,ANA,779000,75,58425000,ANA,PACK
BL-452769,MINISARI ROTI,202000,75,15150000,MR,PACK
BL-452770,EKO SANJOYO,1856800,75,139260000,ES,PACK
BL-452771,MORODADI,2254500,75,169087500,MD,PACK
BL-452772,FREELINE,1358000,75,101850000,FREE,PACK
BL-452773,JAVAS TRIPTA GEMALA,409649.33,75,30723699.75,JTG,PACK
BL-452774,MENSA BINASUKSES,438866.9,75,32915017.5,MB,PACK
BL-452775,KRIDHA MNP,160993.29,75,12074496.75,KMNP,PACK
BL-452776,BORWITA,152630,75,11447250,TTW,PACK
BL-452777,MUSTIKA JAYA,974608,75,73095600,MTKJ,PACK
BL-452778,MUSTIKA JAYA,633182,75,47488650,MTKJ,PACK
BL-452779,MUSTIKA JAYA,1443500,75,108262500,MTKJ,PACK
BL-452780,FREELINE,2144100,75,160807500,FREE,PACK
BL-452781,PERMEN,550000,75,41250000,PRM,PACK
BL-452782,FREELINE,990000,75,74250000,FREE,PACK
BL-452783,CV WAHYU JAYA,977000,75,73275000,WJ,PACK
BL-452784,TJAHYONO ABADI,442902.14,75,33217660.5,TA,PACK
BL-452785,SEMESTA ND,583044.08,75,43728306,SND,PACK
BL-452786,CITRA BARU BUSANA,1511640,75,113373000,CBB,PACK
BL-452787,MITRA SARANA PURNA,1267747.65,75,95081073.75,MSP,PACK
BL-452788,PT HM SAMPOERNA TBK,634857.5,75,47614312.5,SPRN,PACK
BL-452789,MOY SNACK,603000,75,45225000,MYS,PACK
BL-452790,GALAKSI,3202543.14,75,240190735.5,GL,PACK
BL-452791,DJARUM,1745000,75,130875000,SCM,PACK
BL-452792,TIGA RAKSA SATRIA,1511662.38,75,113374678.5,TG,PACK
BL-452793,TIGA RAKSA SATRIA,1269650.19,75,95223764.25,TG,PACK
BL-452794,PT ENSEVAL PM,604149.99,75,45311249.25,EPM,PACK
BL-452795,SARI RASA,109800,75,8235000,SRRS,PACK
BL-452796,SUKUN,592330,75,44424750,SKN,PACK
BL-452797,POCARI SWEAT,148500,75,11137500,PS,PACK
BL-452798,PT ENSEVAL PM,1038753.27,75,77906495.25,EPM,PACK
BL-452799,PT TIRTA PRIMA RASA BLORA,708789.27,75,53159195.25,BS,PACK
BL-452800,FREELINE,190000,75,14250000,FREE,PACK
BL-452801,PT ENSEVAL PM,2424481.98,75,181836148.5,EPM,PACK
BL-452802,TRI USAHA JAYA,233333.1,75,17499982.5,TUJ,PACK
BL-452803,EFATA ROTI,410000,75,30750000,EFT,PACK
BL-452804,FREELINE,288000,75,21600000,FREE,PACK
BL-452805,FREELINE,1068000,75,80100000,FREE,PACK
BL-452806,BLORA MAKMUR,485586.15,75,36418961.25,BM,PACK
BL-452807,FREELINE,277500,75,20812500,FREE,PACK
BL-452808,PARIT PADANG GLOBAL,1383921.36,75,103794102,PP,PACK
BL-452809,YAKULT,169500,75,12712500,Y,PACK
BL-452810,AIR MANCUR,1280000,25,32000000,AM,PACK
BL-452811,ALFA,300000,25,7500000,ALFA,PACK
BL-452812,GERABAH KHORI,1918000,25,47950000,GK,PACK
BL-452813,SINAR BAKERI,157000,25,3925000,SNB,PACK
BL-452814,VENUS,159000,25,3975000,VNS,PACK
BL-452815,NIKMAT,889000,125,111125000,NMT,PACK
BL-452816,SURYA MADISTRINDO,1289550,125,161193750,SM,PACK
BL-452817,COCA COLA,670600,125,83825000,CC,PACK
BL-452818,PINUS MERAH ABADI,75500,125,9437500,PT PM,PACK
BL-452819,MITRA SEHATI SEKATA,410492,125,51311500,MSS,PACK
BL-452820,FREELINE,300000,125,37500000,FREE,PACK
BL-452821,RCI KAPAS,467538.06,125,58442257.5,RCI,PACK
BL-452822,ALFA,635200,125,79400000,ALFA,PACK
BL-452823,INDOCAFE,247400,125,30925000,IDC,PACK
BL-452824,PT KOREA TOMORROW,407000,25,10175000,15,PACK
BL-452825,GALAKSI,180000,25,4500000,GL,PACK
BL-452826,FASTRATA,529522.17,25,13238054.25,FST,PACK
BL-452827,ARTA BOGA,522160,25,13054000,AB,PACK
BL-452828,JAS HUJAN,3114000,25,77850000,JH,PACK
BL-452829,HSP KC,484000,25,12100000,HSP,PACK
BL-452830,TANJUNG,992200,25,24805000,TJG,PACK
BL-452831,FREELINE,99996,25,2499900,FREE,PACK
BL-452832,FREELINE,200000,25,5000000,FREE,PACK
BL-452833,INDOMARCO,2080263,25,52006575,IDM,PACK
BL-452834,INDOMARCO,2068654,25,51716350,IDM,PACK
BL-452835,MULIA SEJAHTERA,579577,25,14489425,SNS,PACK
BL-452836,PT APL,199170.59,25,4979264.75,APL,PACK
BL-452837,SEKAWAN,523298,25,13082450,HLY,PACK
BL-452838,FREELINE,2105000,25,52625000,FREE,PACK
BL-452839,PT TOTAL MANDIRI FARMA,208000,25,5200000,TMF,PACK
BL-452840,PT JAYA ABADI DISTRIBUSI,849196.84,25,21229921,YJA,PACK
BL-452841,SARI RASA,11700,25,292500,SRRS,PACK
BL-452842,SASA,665500,25,16637500,SASA,PACK
BL-452843,MITRA SARI CL,152100,25,3802500,MSCL,PACK
BL-452844,PT SUKA SARI,123000,25,3075000,PT SS,PACK
BL-452845,SO GOOD FOOD,302265,25,7556625,S G,PACK
BL-452846,ANUGERAH JAYA,3152863.5,25,78821587.5,MM,PACK
BL-452847,NABATI,84400,25,2110000,NBT,PACK
BL-452848,PERMEN,120000,25,3000000,PRM,PACK
BL-452849,BAGUS,900987,150,135148050,BGS,PACK
BL-452850,PT SAI INDONESIA,2314768.47,150,347215270.5,SAI,PACK
BL-452851,CITRA NIAGA KL,4316825,150,647523750,CKL,PACK
BL-452852,GERABAH KHORI,888000,150,133200000,GK,PACK
BL-452853,GALAKSI,4784877.75,150,717731662.5,GL,PACK
BL-452854,JAYA KOSMETIK,1405000,150,210750000,JK,PACK
BL-452855,PT K33 DISTRIBUSI,494409.54,150,74161431,K33,PACK
BL-452856,YAKULT,515500,150,77325000,Y,PACK
BL-452857,PT HM SAMPOERNA TBK,266000,150,39900000,SPRN,PACK
