nobeli,namasup,nilaifak,jumlah,total,kodesup,satauan_brg
BL-453340,MITRA SEHATI SEKATA,1511163,50,75558150,MSS,BUAH
BL-453341,UD SUKA CITA,600000,50,30000000,SC,BUAH
BL-453342,BINA SAN PRIMA,129870,50,6493500,BSP,BUAH
BL-453343,MADUSARI RT,130000,50,6500000,MS,BUAH
BL-453344,MINISARI ROTI,294000,50,14700000,MR,BUAH
BL-453345,TANJUNG,1538750,50,76937500,TJG,BUAH
BL-453346,TRI USAHA JAYA,760301.16,50,38015058,TUJ,BUAH
BL-453347,WARDAH PUTRI,539998.14,50,26999907,WP,BUAH
BL-453348,WARDAH PUTRI,296205.8,50,14810290,WP,BUAH
BL-453349,WARDAH PUTRI,1443991.9,50,72199595,WP,BUAH
BL-453350,FREELINE,560000,50,28000000,FREE,BUAH
BL-453351,WARDAH PUTRI,6991892.15,50,349594607.5,WP,BUAH
BL-453352,SALWA MEBEL,3187608,50,159380400,SLW,BUAH
BL-453353,TONG TJI,94000,50,4700000,TT,BUAH
BL-453354,TEH DANDANG,254000,50,12700000,DD,BUAH
BL-453355,ROKOK,56500,50,2825000,RKK,BUAH
BL-453356,JAYA KOSMETIK,226000,50,11300000,JK,BUAH
BL-453357,LAMPU,905000,50,45250000,LP,BUAH
BL-453358,TJAHYONO ABADI,1711694.04,50,85584702,TA,BUAH
BL-453359,MUSTIKA JAYA,301400,50,15070000,MTKJ,BUAH
BL-453360,SINARMAS,5160314.79,50,258015739.5,SNRM,BUAH
BL-453361,PT K33 DISTRIBUSI,562778.88,50,28138944,K33,BUAH
BL-453362,ADY CIPTA BAROKAH,555000,50,27750000,ACB,BUAH
BL-453363,ALFA,285600,50,14280000,ALFA,BUAH
BL-453364,FREELINE,1081900,50,54095000,FREE,BUAH
BL-453365,FREELINE,72500,50,3625000,FREE,BUAH
BL-453366,TANJUNG,1422100,50,71105000,TJG,BUAH
BL-453367,ANA,144000,50,7200000,ANA,BUAH
BL-453368,FREELINE,2401500,50,120075000,FREE,BUAH
BL-453369,SALWA MEBEL,316000,50,15800000,SLW,BUAH
BL-453370,FREELINE,1125600,50,56280000,FREE,BUAH
BL-453371,CV WAHYU JAYA,1868250,50,93412500,WJ,BUAH
BL-453372,PT TIRTA PRIMA RASA BLORA,1333789,50,66689450,BS,BUAH
BL-453373,COCA COLA,381900,50,19095000,CC,BUAH
BL-453374,CLEO,20000,50,1000000,CLEO,BUAH
BL-453375,BORWITA,222158,50,11107900,TTW,BUAH
BL-453376,KRIDHA MNP,273979.08,50,13698954,KMNP,BUAH
BL-453377,PT SEMESTA DISTRIBUSI INDONESIA,536156.64,50,26807832,SDI,BUAH
BL-453378,PT HM SAMPOERNA TBK,482900,50,24145000,SPRN,BUAH
BL-453379,PERMEN,324000,50,16200000,PRM,BUAH
BL-453380,JAVAS TRIPTA GEMALA,262875,50,13143750,JTG,BUAH
BL-453381,MUSTIKA JAYA,1286759.5,50,64337975,MTKJ,BUAH
BL-453382,SOZZIS,678000,50,33900000,SZ,BUAH
BL-453383,TJAHYONO ABADI,1380253.92,50,69012696,TA,BUAH
BL-453384,GERABAH KHORI,616000,50,30800000,GK,BUAH
BL-453385,FREELINE,648000,50,32400000,FREE,BUAH
BL-453386,ULTRAJAYA,995780,50,49789000,UJ,BUAH
BL-453387,HARLIE CAKE,63500,50,3175000,HC,BUAH
BL-453388,JAYA BERHASIL B,638817.21,50,31940860.5,JBB,BUAH
BL-453389,TARUNAKUSUMA P,241160.91,50,12058045.5,TP,BUAH
BL-453390,ALFA,291000,50,14550000,ALFA,BUAH
BL-453391,SUPRALITA MANDIRI,372940,50,18647000,SPLM,BUAH
BL-453392,DJARUM,1525700,50,76285000,SCM,BUAH
BL-453393,DOUBLE NAM,522000,50,26100000,DN,BUAH
BL-453394,SARI RASA,73800,50,3690000,SRRS,BUAH
BL-453395,SUKUN,1023940,50,51197000,SKN,BUAH
BL-453396,SUMBER PELITA MATARAM,773408.04,50,38670402,SPM,BUAH
BL-453397,SOLUNA,470000,50,23500000,SKAB,BUAH
BL-453398,SUMBER PELITA MATARAM,1566387.6,50,78319380,SPM,BUAH
BL-453399,ORANG ARING,142200,50,7110000,OA,BUAH
BL-453400,ASIA PP,120000,50,6000000,APP,BUAH
BL-453401,GALAKSI,152571.72,50,7628586,GL,BUAH
BL-453402,USAHA BERKAH,726000,50,36300000,UB,BUAH
BL-453403,GALAKSI,4739584.56,50,236979228,GL,BUAH
BL-453404,ANEKA SP,1580000,50,79000000,UDASP,BUAH
BL-453405,EFATA ROTI,568000,50,28400000,EFT,BUAH
BL-453406,SOZZIS,231000,50,11550000,SZ,BUAH
BL-453407,SARI RASA,58500,50,2925000,SRRS,BUAH
BL-453408,AZKA,1000000,50,50000000,NKMT,BUAH
BL-453409,GERABAH KHORI,900000,50,45000000,GK,BUAH
BL-453410,SAPU BOYOLALI,4148000,50,207400000,SPB,BUAH
BL-453411,SO GOOD FOOD,588405.04,50,29420252,S G,BUAH
BL-453412,SO GOOD FOOD,426447.4,50,21322370,S G,BUAH
BL-453413,NIKMAT,1026000,50,51300000,NMT,BUAH
BL-453414,VENUS,243000,50,12150000,VNS,BUAH
BL-453415,ANUGERAH JAYA,2001354,50,100067700,MM,BUAH
BL-453416,MEKAR ABADI,735000,50,36750000,MKR,BUAH
BL-453417,SINAR BAKERI,173000,50,8650000,SNB,BUAH
BL-453418,MARGA NJ,256568.73,50,12828436.5,SI,BUAH
BL-453419,FREELINE,312000,50,15600000,FREE,BUAH
BL-453420,SURYA MADISTRINDO,1216900,50,60845000,SM,BUAH
BL-453421,AIR MANCUR,739500,50,36975000,AM,BUAH
BL-453422,PT ASIA SEJAHTERA PP,455077.44,50,22753872,ASPP,BUAH
BL-453423,USAHA BERKAH,570000,50,28500000,UB,BUAH
BL-453424,SURYA KS,2056800,50,102840000,PTSKS,BUAH
BL-453425,GALAKSI,853750,50,42687500,GL,BUAH
BL-453426,BERAS MUSTIKA,1575000,50,78750000,BRM,BUAH
BL-453427,FREELINE,195000,50,9750000,FREE,BUAH
BL-453428,SARINAH,650000,50,32500000,SRN,BUAH
BL-453429,CV MEKAR TERUS,827925,50,41396250,MKTR,BUAH
BL-453430,FREELINE,197600,50,9880000,FREE,BUAH
BL-453431,ARTA BOGA,474532,50,23726600,AB,BUAH
BL-453432,INDOMARCO,1943021.6,50,97151080,IDM,BUAH
BL-453433,INDOMARCO,464750,50,23237500,IDM,BUAH
BL-453434,INDOMARCO,1495937.25,50,74796862.5,IDM,BUAH
BL-453435,ANUGERAH JAYA,698288,50,34914400,MM,BUAH
BL-453436,FASTRATA,856060.86,50,42803043,FST,BUAH
BL-453437,NUR PRATAMA ELECTRO,528000,50,26400000,NPE,BUAH
BL-453438,PT SUKA SARI,123000,50,6150000,PT SS,BUAH
BL-453439,GABREZ STIKER,298400,50,14920000,GZ,BUAH
BL-453440,SASA,424000,50,21200000,SASA,BUAH
BL-453441,SEKAWAN,518977,200,103795400,HLY,BUAH
BL-453442,NIAGA NUSA ABADI,365300,200,73060000,NNA,BUAH
BL-453443,PT KOREA TOMORROW,390000,200,78000000,15,BUAH
BL-453444,ROTI KITA,79000,200,15800000,RK,BUAH
BL-453445,INTIDAYA RM,410765.5,200,82153100,IRM,BUAH
BL-453446,FREELINE,272000,200,54400000,FREE,BUAH
BL-453447,YAKULT,757000,200,151400000,Y,BUAH
BL-453448,ALFA,894875,200,178975000,ALFA,BUAH
BL-453449,FREELINE,200200,200,40040000,FREE,BUAH
BL-453450,SARI RASA,262800,200,52560000,SRRS,BUAH
BL-453451,PT JAYA ABADI DISTRIBUSI,904306.05,200,180861210,YJA,BUAH
BL-453452,SINARMAS,4768803.41,200,953760682,SNRM,BUAH
BL-453453,DWI JAYA,452000,200,90400000,DJ,BUAH
BL-453454,MENSA BINASUKSES,626615.8,200,125323160,MB,BUAH
BL-453455,FREELINE,145000,200,29000000,FREE,BUAH
BL-453456,KRIDHA MNP,3313296.72,200,662659344,KMNP,BUAH
BL-453457,MULIA SEJAHTERA,569504,200,113900800,SNS,BUAH
BL-453458,MONALISA ROTI,67000,200,13400000,MNLS,BUAH
BL-453459,NAT,599239.05,200,119847810,NAT,BUAH
BL-453460,NAT,2420307.98,200,484061596,NAT,BUAH
BL-453461,INDOMARCO,125440,200,25088000,IDM,BUAH
BL-453462,MITRA SARI CL,41400,200,8280000,MSCL,BUAH
BL-453463,ALFA,14166,200,2833200,ALFA,BUAH
BL-453464,PT HM SAMPOERNA TBK,1056900,200,211380000,SPRN,BUAH
BL-453465,TJAHYONO ABADI,594066.45,200,118813290,TA,BUAH
BL-453466,MADUSARI RT,63000,200,12600000,MS,BUAH
BL-453467,JAMBU BRAND PEANUT,477500,200,95500000,JBP,BUAH
BL-453468,MINISARI ROTI,206000,200,41200000,MR,BUAH
BL-453469,FASTRATA,554496.06,200,110899212,FST,BUAH
BL-453470,BINA SAN PRIMA,895449.21,200,179089842,BSP,BUAH
BL-453471,UBA SNACK,8000,200,1600000,UBAS,BUAH
BL-453472,CAMPINA ICE CREAM,403200.84,200,80640168,CIC,BUAH
BL-453473,FREELINE,49000,200,9800000,FREE,BUAH
BL-453474,TEH DANDANG,183200,200,36640000,DD,BUAH
BL-453475,PINUS MERAH ABADI,195966,200,39193200,PT PM,BUAH
BL-453476,MENSA BINASUKSES,135911.2,200,27182240,MB,BUAH
BL-453477,UNIRAMA DN,259300.44,200,51860088,UDN,BUAH
BL-453478,DAYA MUDA AGUNG,297790.8,200,59558160,DMA,BUAH
BL-453479,GERABAH KHORI,486000,200,97200000,GK,BUAH
BL-453480,CLEO,210000,200,42000000,CLEO,BUAH
BL-453481,ALFA,300000,200,60000000,ALFA,BUAH
BL-453482,FREELINE,1490000,200,298000000,FREE,BUAH
BL-453483,FREELINE,268928,200,53785600,FREE,BUAH
BL-453484,TJAHYONO ABADI,425198.55,200,85039710,TA,BUAH
BL-453485,FREELINE,1476000,200,295200000,FREE,BUAH
BL-453486,KRIPIK 99,180000,200,36000000,KRP,BUAH
BL-453487,FREELINE,104488,200,20897600,FREE,BUAH
BL-453488,FREELINE,255000,200,51000000,FREE,BUAH
BL-453489,TANJUNG,1567250,200,313450000,TJG,BUAH
BL-453490,FREELINE,996000,200,199200000,FREE,BUAH
BL-453491,PT LAMCOS ABADI JAYA,981889.35,200,196377870,LAJ,BUAH
BL-453492,CV WAHYU JAYA,161000,200,32200000,WJ,BUAH
BL-453493,PT SEMESTA DISTRIBUSI INDONESIA,126389.04,200,25277808,SDI,BUAH
BL-453494,JAVAS TRIPTA GEMALA,235379,200,47075800,JTG,BUAH
BL-453495,DEFA PARFUM,794000,200,158800000,DFP,BUAH
BL-453496,PERMEN,428025,200,85605000,PRM,BUAH
BL-453497,KRIDHA MNP,185999.37,200,37199874,KMNP,BUAH
BL-453498,FREELINE,336000,200,67200000,FREE,BUAH
BL-453499,FREELINE,1759700,200,351940000,FREE,BUAH
BL-453500,OLIVER BA,870771.69,200,174154338,OBA,BUAH
BL-453501,PT HM SAMPOERNA TBK,656600,200,131320000,SPRN,BUAH
BL-453502,HASIL BUMI KITA,160000,200,32000000,HBK,BUAH
BL-453503,FREELINE,368698,200,73739600,FREE,BUAH
BL-453504,TANJUNG,609000,200,121800000,TJG,BUAH
BL-453505,CV WAHYU JAYA,955250,200,191050000,WJ,BUAH
BL-453506,TJAHYONO ABADI,582167.25,200,116433450,TA,BUAH
BL-453507,MUSTIKA JAYA,1257964,200,251592800,MTKJ,BUAH
BL-453508,JAYA KOSMETIK,1215000,200,243000000,JK,BUAH
BL-453509,MUSTIKA JAYA,579598,200,115919600,MTKJ,BUAH
BL-453510,SINAR ABADI,5083886,200,1016777200,SAB,BUAH
BL-453511,CENTRAL GEMILANG,26227050,200,5245410000,CG,BUAH
BL-453512,PERMEN,240000,200,48000000,PRM,BUAH
BL-453513,ANUGRAH ARGON M,160541.52,200,32108304,AAM,BUAH
BL-453514,SARI RASA,76500,200,15300000,SRRS,BUAH
BL-453515,KRIDHA MNP,96600,200,19320000,KMNP,BUAH
BL-453516,PT APL,18164.04,200,3632808,APL,BUAH
BL-453517,SAPUTRO ABADI,352497.15,200,70499430,SAK,BUAH
BL-453518,GAWIH JAYA,174300,200,34860000,GJ,BUAH
BL-453519,YAKULT,113000,200,22600000,Y,BUAH
BL-453520,SUKUN,878455,200,175691000,SKN,BUAH
BL-453521,POCARI SWEAT,664200,200,132840000,PS,BUAH
BL-453522,PT TIRTA PRIMA RASA BLORA,676716,200,135343200,BS,BUAH
BL-453523,SARI RASA,36450,200,7290000,SRRS,BUAH
BL-453524,DJARUM,1489000,200,297800000,SCM,BUAH
BL-453525,FREELINE,190000,200,38000000,FREE,BUAH
BL-453526,AZKA,712000,200,142400000,NKMT,BUAH
BL-453527,EFATA ROTI,527000,200,105400000,EFT,BUAH
BL-453528,SOZZIS,1176000,200,235200000,SZ,BUAH
BL-453529,FREELINE,771200,200,154240000,FREE,BUAH
BL-453530,FREELINE,412200,200,82440000,FREE,BUAH
BL-453531,TARUNAKUSUMA P,150538.47,200,30107694,TP,BUAH
BL-453532,SURYA MADISTRINDO,1148250,200,229650000,SM,BUAH
BL-453533,THONG PERKASA JAYA SENTOSA,134868,200,26973600,TPJ,BUAH
BL-453534,AIR MANCUR,763000,200,152600000,AM,BUAH
BL-453535,BLORA MAKMUR,491144.6,200,98228920,BM,BUAH
BL-453536,NIKMAT,1542000,200,308400000,NMT,BUAH
BL-453537,VENUS,319000,200,63800000,VNS,BUAH
BL-453538,UNTUNG JAYA,666192.03,200,133238406,UJY,BUAH
BL-453539,SINAR BAKERI,298000,200,59600000,SNB,BUAH
BL-453540,ALFA,175500,200,35100000,ALFA,BUAH
BL-453541,GALAKSI,344674.98,200,68934996,GL,BUAH
BL-453542,PINUS MERAH ABADI,378718,200,75743600,PT PM,BUAH
BL-453543,MITRA SEHATI SEKATA,1178763,200,235752600,MSS,BUAH
BL-453544,SOZZIS,470000,200,94000000,SZ,BUAH
BL-453545,PINUS MERAH ABADI,236880,200,47376000,PT PM,BUAH
BL-453546,FREELINE,620000,200,124000000,FREE,BUAH
BL-453547,FREELINE,864000,200,172800000,FREE,BUAH
BL-453548,USAHA JAYA,1002878.34,200,200575668,USJY,BUAH
BL-453549,KAOS KAKI,1938300,200,387660000,KK,BUAH
BL-453550,KOREK,330000,200,66000000,KRK,BUAH
BL-453551,INDOMARCO,1649565,200,329913000,IDM,BUAH
BL-453552,CATUR SENTOSA A,443290.1,200,88658020,CSA,BUAH
BL-453553,PT ENSEVAL PM,151466.09,200,30293218,EPM,BUAH
BL-453554,CITRA NIAGA KL,5083264,200,1016652800,CKL,BUAH
BL-453555,SASA,230000,200,46000000,SASA,BUAH
BL-453556,INDOMARCO,2532204,200,506440800,IDM,BUAH
BL-453557,PT SUKA SARI,123000,200,24600000,PT SS,BUAH
BL-453558,FREELINE,150000,200,30000000,FREE,BUAH
BL-453559,KOPI LELET,416000,200,83200000,KL,BUAH
BL-453560,PRIMA,742140,200,148428000,PR,BUAH
BL-453561,PT TOTAL MANDIRI FARMA,208000,200,41600000,TMF,BUAH
BL-453562,INDOCAFE,247400,200,49480000,IDC,BUAH
BL-453563,FASTRATA,509908.47,200,101981694,FST,BUAH
BL-453564,MAKIN JAYA,1278912,200,255782400,MK,BUAH
BL-453565,YAKULT,161000,200,32200000,Y,BUAH
BL-453566,PT KOREA TOMORROW,531500,200,106300000,15,BUAH
BL-453567,TRI USAHA JAYA,1432902.33,200,286580466,TUJ,BUAH
BL-453568,TRI USAHA JAYA,3998379.14,200,799675828,TUJ,BUAH
BL-453569,FREELINE,1032340,200,206468000,FREE,BUAH
BL-453570,TONG TJI,183000,200,36600000,TT,BUAH
BL-453571,SARI RASA,318600,200,63720000,SRRS,BUAH
BL-453572,DWI JAYA,835750,200,167150000,DJ,BUAH
BL-453573,UD HARI JAYA,660122,200,132024400,HJ,BUAH
BL-453574,SARI RASA,38700,200,7740000,SRRS,BUAH
BL-453575,CITRA NIAGA KL,14181034.5,200,2836206900,CKL,BUAH
BL-453576,INDOMARCO,2044982.33,250,511245582.5,IDM,BUAH
BL-453577,MULIA SEJAHTERA,764495,250,191123750,SNS,BUAH
BL-453578,FREELINE,71000,250,17750000,FREE,BUAH
BL-453579,INDOMARCO,116130,250,29032500,IDM,BUAH
BL-453580,MADUSARI RT,82000,250,20500000,MS,BUAH
BL-453581,MUSTIKA JAYA,336700,250,84175000,MTKJ,BUAH
BL-453582,MUSTIKA JAYA,1009950,250,252487500,MTKJ,BUAH
BL-453583,FASTRATA,451145.07,250,112786267.5,FST,BUAH
BL-453584,ADY CIPTA BAROKAH,1050000,250,262500000,ACB,BUAH
BL-453585,TANJUNG,950250,250,237562500,TJG,BUAH
BL-453586,JAYA KOSMETIK,166000,250,41500000,JK,BUAH
BL-453587,COCA COLA,701900,250,175475000,CC,BUAH
BL-453588,TJAHYONO ABADI,1322062.17,250,330515542.5,TA,PACK
BL-453589,ALFA,243000,250,60750000,ALFA,PACK
